"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q6J1Y9","UBP19_RAT","Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19)","Usp19","Rattus norvegicus (Rat)",1357
"F1ND48","FBH1_CHICK","F-box DNA helicase 1 (EC 3.6.4.12) (F-box only protein 18)","FBH1 FBX18 FBXO18","Gallus gallus (Chicken)",1012
"P08047","SP1_HUMAN","Transcription factor Sp1","SP1 TSFP1","Homo sapiens (Human)",785
"P98192","GNPAT_MOUSE","Dihydroxyacetone phosphate acyltransferase (DAP-AT) (DHAP-AT) (EC 2.3.1.42) (Acyl-CoA:dihydroxyacetonephosphateacyltransferase) (Glycerone-phosphate O-acyltransferase)","Gnpat Dhapat","Mus musculus (Mouse)",678
"Q5R6T1","PDIA6_PONAB","Protein disulfide-isomerase A6 (EC 5.3.4.1)","PDIA6","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",440
"Q8IYB9","ZN595_HUMAN","Zinc finger protein 595","ZNF595","Homo sapiens (Human)",648
"Q4V8E9","NRIF1_RAT","Neurotrophin receptor-interacting factor 1 (Zinc finger protein 110)","Nrif1 Zfp110","Rattus norvegicus (Rat)",822
"P28741","KIF3A_MOUSE","Kinesin-like protein KIF3A (Microtubule plus end-directed kinesin motor 3A)","Kif3a Kif3","Mus musculus (Mouse)",701
"Q91VW9","ZKSC3_MOUSE","Zinc finger protein with KRAB and SCAN domains 3 (SCAN-KRAB-zinc finger protein) (Zinc finger protein 306) (Zinc finger protein 307) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)","Zkscan3 Skz1 Zfp306 Zfp307 Zfp47","Mus musculus (Mouse)",553
"Q8MJ44","KAPCA_CANLF","cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)","PRKACA","Canis lupus familiaris (Dog) (Canis familiaris)",350
"P54311","GBB1_RAT","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)","Gnb1","Rattus norvegicus (Rat)",340
"Q9VVA0","Y9705_DROME","Cold shock domain-containing protein CG9705","CG9705","Drosophila melanogaster (Fruit fly)",143
"Q6DFC0","S41A2_XENLA","Solute carrier family 41 member 2","slc41a2","Xenopus laevis (African clawed frog)",561
"Q9UM01","YLAT1_HUMAN","Y+L amino acid transporter 1 (Monocyte amino acid permease 2) (MOP-2) (Solute carrier family 7 member 7) (y(+)L-type amino acid transporter 1) (Y+LAT1) (y+LAT-1)","SLC7A7","Homo sapiens (Human)",511
"Q60HE9","MA2B1_MACFA","Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B)","MAN2B1 QmoA-10471","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",1012
"Q1LZB6","CAPR1_BOVIN","Caprin-1 (Cytoplasmic activation- and proliferation-associated protein 1) (RNA granule protein 105)","CAPRIN1 RNG105","Bos taurus (Bovine)",708
"P48766","NAC1_CAVPO","Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1)","SLC8A1","Cavia porcellus (Guinea pig)",970
"Q91VM3","WIPI4_MOUSE","WD repeat domain phosphoinositide-interacting protein 4 (WIPI-4) (WD repeat domain X-linked 1) (WD repeat-containing protein 45)","Wdr45 DXImx38e Wdrx1 Wipi4","Mus musculus (Mouse)",360
"Q9Y2H8","ZN510_HUMAN","Zinc finger protein 510","ZNF510 KIAA0972","Homo sapiens (Human)",683
"Q8BYH8","CHD9_MOUSE","Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein)","Chd9 Kiaa0308 Pric320","Mus musculus (Mouse)",2885
"Q7L3S4","ZN771_HUMAN","Zinc finger protein 771 (Mesenchymal stem cell protein DSC43)","ZNF771","Homo sapiens (Human)",317
"O75717","WDHD1_HUMAN","WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1)","WDHD1 AND1","Homo sapiens (Human)",1129
"B8GX12","LON_CAUVN","Lon protease (EC 3.4.21.53) (ATP-dependent protease La)","lon CCNA_02037","Caulobacter vibrioides (strain NA1000 / CB15N) (Caulobacter crescentus)",799
"Q642M9","DHDH_DANRE","Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.3.1.20) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (EC 1.1.1.179) (Dimeric dihydrodiol dehydrogenase)","dhdh ch211-203b17.3 zgc:101723","Danio rerio (Zebrafish) (Brachydanio rerio)",334
"Q9BWT3","PAPOG_HUMAN","Poly(A) polymerase gamma (PAP-gamma) (EC 2.7.7.19) (Neo-poly(A) polymerase) (Neo-PAP) (Polynucleotide adenylyltransferase gamma) (SRP RNA 3'-adenylating enzyme) (Signal recognition particle RNA-adenylating enzyme) (SRP RNA-adenylating enzyme)","PAPOLG PAP2 PAPG","Homo sapiens (Human)",736
"Q01887","RYK_MOUSE","Tyrosine-protein kinase RYK (EC 2.7.10.1) (Kinase VIK) (Met-related kinase) (NYK-R)","Ryk Mrk","Mus musculus (Mouse)",594
"Q504Y2","PKDCC_HUMAN","Extracellular tyrosine-protein kinase PKDCC (EC 2.7.10.2) (Protein kinase domain-containing protein, cytoplasmic) (Protein kinase-like protein SgK493) (Sugen kinase 493) (Vertebrate lonesome kinase)","PKDCC SGK493 VLK","Homo sapiens (Human)",493
"Q5R511","GRP75_PONAB","Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9)","HSPA9","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",679
"P59723","HIF1N_DANRE","Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Hypoxia-inducible factor asparagine hydroxylase)","hif1an si:rp71-68n3.1","Danio rerio (Zebrafish) (Brachydanio rerio)",344
"Q2QGD7","ZXDC_HUMAN","Zinc finger protein ZXDC (ZXD-like zinc finger protein)","ZXDC ZXDL","Homo sapiens (Human)",858
"Q24K02","IDE_BOVIN","Insulin-degrading enzyme (EC 3.4.24.56) (Insulin protease) (Insulinase) (Insulysin)","IDE","Bos taurus (Bovine)",1019
"P42271","TBG2_DROME","Tubulin gamma-2 chain (Gamma-2-tubulin)","gammaTub37C Tub37CD TubG2 TubG37C CG17566","Drosophila melanogaster (Fruit fly)",457
"P37571","CLPC_BACSU","Negative regulator of genetic competence ClpC/MecB","clpC mecB BSU00860","Bacillus subtilis (strain 168)",810
"Q9H2C0","GAN_HUMAN","Gigaxonin (Kelch-like protein 16)","GAN GAN1 KLHL16","Homo sapiens (Human)",597
"Q92733","PRCC_HUMAN","Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)","PRCC TPRC","Homo sapiens (Human)",491
"Q3UJK4","GTPB2_MOUSE","GTP-binding protein 2 (GTP-binding-like protein 2)","Gtpbp2","Mus musculus (Mouse)",602
"Q8TAU3","ZN417_HUMAN","Zinc finger protein 417","ZNF417","Homo sapiens (Human)",575
"Q9W0T1","NU301_DROME","Nucleosome-remodeling factor subunit NURF301 (Enhancer of bithorax) (Nucleosome-remodeling factor 215 kDa subunit) (NURF-215)","E(bx) CG32346 CG7022 Nurf301","Drosophila melanogaster (Fruit fly)",2669
"Q95001","CHLE2_BRALA","Cholinesterase 2 (EC 3.1.1.8) (Fragment)","CHE2","Branchiostoma lanceolatum (Common lancelet) (Amphioxus lanceolatum)",337
"B4J2W3","WLS_DROGR","Protein wntless","wls GH16661","Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi)",562
"Q9NXL6","SIDT1_HUMAN","SID1 transmembrane family member 1","SIDT1","Homo sapiens (Human)",827
"Q32L60","TRI13_BOVIN","E3 ubiquitin-protein ligase TRIM13 (EC 2.3.2.27) (Putative tumor suppressor RFP2) (RING-type E3 ubiquitin transferase TRIM13) (Ret finger protein 2) (Tripartite motif-containing protein 13)","TRIM13 RFP2","Bos taurus (Bovine)",407
"Q86WA9","S2611_HUMAN","Sodium-independent sulfate anion transporter (Solute carrier family 26 member 11)","SLC26A11","Homo sapiens (Human)",606
"P46940","IQGA1_HUMAN","Ras GTPase-activating-like protein IQGAP1 (p195)","IQGAP1 KIAA0051","Homo sapiens (Human)",1657
"Q24K15","ANGP4_BOVIN","Angiopoietin-4 (ANG-4)","ANGPT4","Bos taurus (Bovine)",498
"Q91604","STK11_XENLA","Serine/threonine-protein kinase stk11 (EC 2.7.11.1) (Liver kinase B1 homolog) (lkb1) (Serine/threonine-protein kinase XEEK1)","stk11 eek1","Xenopus laevis (African clawed frog)",432
"Q9BQ83","SLX1_HUMAN","Structure-specific endonuclease subunit SLX1 (EC 3.1.-.-) (GIY-YIG domain-containing protein 1)","SLX1A GIYD1 SLX1; SLX1B GIYD2 SLX1","Homo sapiens (Human)",275
"Q9VZZ4","PXDN_DROME","Peroxidasin (EC 1.11.1.7)","Pxn CG12002","Drosophila melanogaster (Fruit fly)",1527
"Q7ZU99","TERA_DANRE","Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (Protein CDC48) (Valosin-containing protein) (VCP)","vcp cdc48 si:ch211-113n10.2","Danio rerio (Zebrafish) (Brachydanio rerio)",806
"P43405","KSYK_HUMAN","Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)","SYK","Homo sapiens (Human)",635
"Q5R6Z6","CNOT9_PONAB","CCR4-NOT transcription complex subunit 9 (Cell differentiation protein RQCD1 homolog) (Rcd-1)","CNOT9 RCD1 RQCD1","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",299
"Q9ESN3","PGAP6_MOUSE","Post-GPI attachment to proteins factor 6 (EC 3.1.1.4) (GPI processing phospholipase A2) (GPI-PLA2) (M83 protein) (Transmembrane protein 8) (Transmembrane protein 8A)","Pgap6 Tmem8 Tmem8a","Mus musculus (Mouse)",769
"P02556","TBB_LYTPI","Tubulin beta chain (Beta-tubulin) (Fragment)","","Lytechinus pictus (Painted sea urchin)",177
"P0DKX0","ZN728_HUMAN","Zinc finger protein 728","ZNF728","Homo sapiens (Human)",622
"P18740","ZO14_XENLA","Oocyte zinc finger protein XlCOF14 (Fragment)","","Xenopus laevis (African clawed frog)",139
"P32138","SQASE_ECOLI","Sulfoquinovosidase (SQase) (EC 3.2.1.199)","yihQ squQ b3878 JW3849","Escherichia coli (strain K12)",678
"P18729","ZG57_XENLA","Gastrula zinc finger protein XlCGF57.1 (Fragment)","","Xenopus laevis (African clawed frog)",336
"Q15560","TCEA2_HUMAN","Transcription elongation factor A protein 2 (Testis-specific S-II) (Transcription elongation factor S-II protein 2) (Transcription elongation factor TFIIS.l)","TCEA2","Homo sapiens (Human)",299
"Q06827","CATR_SCHDU","Caltractin (Centrin)","","Scherffelia dubia (Green alga) (Chlamydomonas dubia)",168
"Q5TYV4","SPE39_DANRE","Spermatogenesis-defective protein 39 homolog (hSPE-39) (VPS33B-interacting protein in apical-basolateral polarity regulator) (VPS33B-interacting protein in polarity and apical restriction)","vipas39 spe39 vipar si:ch211-20b12.1","Danio rerio (Zebrafish) (Brachydanio rerio)",483
"Q91YT2","RN185_MOUSE","E3 ubiquitin-protein ligase RNF185 (EC 2.3.2.27) (RING finger protein 185) (RING-type E3 ubiquitin transferase RNF185)","Rnf185","Mus musculus (Mouse)",192
"Q5R723","PPIE_PONAB","Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Rotamase E)","PPIE","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",301
"Q05746","HSP70_PLACB","Heat shock 70 kDa protein (HSP70) (74.6 kDa protein) (Cytoplasmic antigen)","","Plasmodium cynomolgi (strain Berok)",686
"Q3MI05","PPGB_BOVIN","Lysosomal protective protein (EC 3.4.16.5) (Cathepsin A) [Cleaved into: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain]","CTSA PPGB","Bos taurus (Bovine)",479
"P17133","RU17_DROME","U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)","snRNP-U1-70K snRNP27D snRNP70K CG8749","Drosophila melanogaster (Fruit fly)",448
"Q9QUJ7","ACSL4_MOUSE","Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4)","Acsl4 Acs4 Facl4","Mus musculus (Mouse)",711
"Q8TFK8","DED1_CANGA","ATP-dependent RNA helicase DED1 (EC 3.6.4.13)","DED1 CAGL0L02915g","Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) (Yeast) (Torulopsis glabrata)",617
"Q921L8","GLT11_MOUSE","Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11)","Galnt11","Mus musculus (Mouse)",608
"Q6XK22","R9BP_CHICK","Regulator of G-protein signaling 9-binding protein (RGS9-anchor protein)","RGS9BP R9AP","Gallus gallus (Chicken)",237
"Q8K224","NAT10_MOUSE","RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10)","Nat10 Kiaa1709","Mus musculus (Mouse)",1024
"A7GZ43","CH60_CAMC5","60 kDa chaperonin (GroEL protein) (Protein Cpn60)","groL groEL Ccur92_11810 CCV52592_0308","Campylobacter curvus (strain 525.92)",544
"Q9H0W9","CK054_HUMAN","Ester hydrolase C11orf54 (EC 3.1.-.-)","C11orf54 LP4947 PTD012","Homo sapiens (Human)",315
"Q91VR5","DDX1_MOUSE","ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1)","Ddx1","Mus musculus (Mouse)",740
"A4VCL2","FA20C_DROME","Extracellular serine/threonine protein CG31145 (EC 2.7.11.1) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK)","CG31145","Drosophila melanogaster (Fruit fly)",980
"Q5RAP1","TCPQ_PONAB","T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)","CCT8","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",548
"Q9UJK0","TSR3_HUMAN","18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-) (20S S rRNA accumulation protein 3 homolog) (HsTsr3)","TSR3 C16orf42 UND313L","Homo sapiens (Human)",312
"Q9QZR0","RNF25_MOUSE","E3 ubiquitin-protein ligase RNF25 (EC 2.3.2.27) (RING finger protein 25) (RING finger protein AO7) (RING-type E3 ubiquitin transferase RNF25)","Rnf25","Mus musculus (Mouse)",456
"O97508","THIO_HORSE","Thioredoxin (Trx)","TXN","Equus caballus (Horse)",105
"P60123","RUVB1_RAT","RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (DNA helicase p50) (Pontin 52) (TIP49a)","Ruvbl1 Tip49 Tip49a","Rattus norvegicus (Rat)",456
"P98157","LRP1_CHICK","Low-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR)","LRP1","Gallus gallus (Chicken)",4543
"Q9JI08","BIN3_MOUSE","Bridging integrator 3","Bin3","Mus musculus (Mouse)",253
"Q9QXL8","NDK7_MOUSE","Nucleoside diphosphate kinase 7 (NDK 7) (NDP kinase 7) (EC 2.7.4.6) (nm23-M7)","Nme7","Mus musculus (Mouse)",395
"A8J4S9","TREA_APIME","Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)","","Apis mellifera (Honeybee)",626
"Q32LQ3","OSGP2_DANRE","Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (O-sialoglycoprotein endopeptidase-like protein 1) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein osgepl1) (tRNA threonylcarbamoyladenosine biosynthesis protein osgepl1)","osgepl1 si:dz72b14.6","Danio rerio (Zebrafish) (Brachydanio rerio)",404
"Q794E4","HNRPF_RAT","Heterogeneous nuclear ribonucleoprotein F (hnRNP F) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]","Hnrnpf Hnrpf","Rattus norvegicus (Rat)",415
"Q9Y5P6","GMPPB_HUMAN","Mannose-1-phosphate guanyltransferase beta (EC 2.7.7.13) (GDP-mannose pyrophosphorylase B) (GTP-mannose-1-phosphate guanylyltransferase beta)","GMPPB","Homo sapiens (Human)",360
"Q5A688","PMT6_CANAL","Dolichyl-phosphate-mannose--protein mannosyltransferase 6 (Protein mannosyltransferase 6) (EC 2.4.1.109)","PMT6 PMT3 CAALFM_C404780WA CaO19.11283 CaO19.3802","Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)",832
"O17389","TYB_CAEEL","Thymosin beta (Tetrathymosin beta)","tth-1 F08F1.8","Caenorhabditis elegans",151
"Q6IV78","TAZ_SAISC","Tafazzin","TAZ","Saimiri sciureus (Common squirrel monkey)",262
"P42128","FOXK1_MOUSE","Forkhead box protein K1 (Myocyte nuclear factor) (MNF)","Foxk1 Mnf","Mus musculus (Mouse)",719
"P46793","RS15A_DICDI","40S ribosomal protein S15a (Ribosomal protein S24)","rps15a rps24 DDB_G0276457","Dictyostelium discoideum (Slime mold)",130
"Q64096","MCF2L_MOUSE","Guanine nucleotide exchange factor DBS (DBL's big sister) (MCF2-transforming sequence-like protein)","Mcf2l Dbs","Mus musculus (Mouse)",1149
"Q9V498","CSTN1_DROME","Calsyntenin-1 (Cadherin-102F)","Cals Cad102F CLSTN1 CG11059","Drosophila melanogaster (Fruit fly)",978
"O35286","DHX15_MOUSE","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (DEAH box protein 15)","Dhx15 Ddx15 Deah9","Mus musculus (Mouse)",795
"Q9M2U3","ALPL_ARATH","Protein ALP1-like (EC 3.1.-.-)","At3g55350 T22E16.10","Arabidopsis thaliana (Mouse-ear cress)",406
"Q61827","MAFK_MOUSE","Transcription factor MafK (Erythroid transcription factor NF-E2 p18 subunit)","Mafk Nfe2u","Mus musculus (Mouse)",156
"P11369","LORF2_MOUSE","LINE-1 retrotransposable element ORF2 protein (ORF2p) (Long interspersed element-1) (L1) (Retrovirus-related Pol polyprotein LINE-1) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]","Pol Gm17492","Mus musculus (Mouse)",1281
"P22700","ATC1_DROME","Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type (EC 7.2.2.10) (Calcium ATPase at 60A) (Calcium pump) (Sarcoplasmic/endoplasmic reticulum Ca(2+)-ATPase)","SERCA Ca-P60A CG3725","Drosophila melanogaster (Fruit fly)",1020
"Q0V9J0","TMM69_XENTR","Transmembrane protein 69","tmem69","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",253
"P38646","GRP75_HUMAN","Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)","HSPA9 GRP75 HSPA9B mt-HSP70","Homo sapiens (Human)",679
"Q60976","JERKY_MOUSE","Jerky protein","Jrk","Mus musculus (Mouse)",557
"Q80TG1","KANL1_MOUSE","KAT8 regulatory NSL complex subunit 1 (NSL complex protein NSL1) (Non-specific lethal 1 homolog)","Kansl1 Kiaa1267 Nsl1","Mus musculus (Mouse)",1036
"Q8VHQ4","RB40C_MOUSE","Ras-related protein Rab-40C (SOCS box-containing protein RAR3)","Rab40c","Mus musculus (Mouse)",281
"A4K2W5","STK4_AOTNA","Serine/threonine-protein kinase 4 (EC 2.7.11.1) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]","STK4","Aotus nancymaae (Ma's night monkey)",487
"P48758","CBR1_MOUSE","Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196) (EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189)","Cbr1 Cbr","Mus musculus (Mouse)",277
"A4WUY6","BETB_RHOS5","NAD/NADP-dependent betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)","betB Rsph17025_2311","Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3)",483
"P21328","RTJK_DROME","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)","pol","Drosophila melanogaster (Fruit fly)",916
"P20241","NRG_DROME","Neuroglian","Nrg CG1634","Drosophila melanogaster (Fruit fly)",1302
"O70237","GFI1B_MOUSE","Zinc finger protein Gfi-1b (Growth factor independent protein 1B)","Gfi1b","Mus musculus (Mouse)",330
"Q9C102","GLT1_SCHPO","Putative glutamate synthase [NADPH] (EC 1.4.1.13) (NADPH-GOGAT)","glt1 SPAPB1E7.07","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",2111
"Q9JKZ2","SC5A3_MOUSE","Sodium/myo-inositol cotransporter (Na(+)/myo-inositol cotransporter) (Sodium/myo-inositol transporter 1) (SMIT1) (Solute carrier family 5 member 3)","Slc5a3","Mus musculus (Mouse)",718
"Q63245","FOXD3_RAT","Forkhead box protein D3 (HNF3/FH transcription factor genesis) (Hepatocyte nuclear factor 3 forkhead homolog 2) (HFH-2) (Fragment)","Foxd3 Hfh2","Rattus norvegicus (Rat)",101
"Q8K0H7","S45A3_MOUSE","Solute carrier family 45 member 3 (Prostate cancer-associated protein 6) (Prostein)","Slc45a3 Pcanap6 Prst","Mus musculus (Mouse)",553
"Q54FE6","MCFS_DICDI","Mitochondrial substrate carrier family protein S (Carnitine/acylcarnitine translocase) (CAC) (Solute carrier family 25 member 20 homolog B)","mcfS slc25a20B DDB_G0290913","Dictyostelium discoideum (Slime mold)",285
"Q3SYV7","ZN345_BOVIN","Zinc finger protein 345","ZNF345","Bos taurus (Bovine)",487
"O13127","FLOT1_CARAU","Flotillin-1 (Reggie-2) (REG-2)","flot1","Carassius auratus (Goldfish)",423
"Q99LM2","CK5P3_MOUSE","CDK5 regulatory subunit-associated protein 3","Cdk5rap3","Mus musculus (Mouse)",503
"P17032","ZN37A_HUMAN","Zinc finger protein 37A (Zinc finger protein KOX21)","ZNF37A KOX21 ZNF37","Homo sapiens (Human)",561
"Q94900","GLUCL_DROME","Glutamate-gated chloride channel (DrosGluCl)","GluClalpha GluCl CG7535","Drosophila melanogaster (Fruit fly)",456
"Q9CR14","FANCL_MOUSE","E3 ubiquitin-protein ligase FANCL (EC 2.3.2.27) (Fanconi anemia group L protein homolog) (Proliferation of germ cells protein) (RING-type E3 ubiquitin transferase FANCL)","Fancl Phf9 Pog","Mus musculus (Mouse)",375
"B7Z0W9","OTOP_DROME","Proton channel OtopLc (Otopetrin-Lc) (DmOtopLc)","OtopLc CG42265","Drosophila melanogaster (Fruit fly)",1576
"Q91VZ6","SMAP1_MOUSE","Stromal membrane-associated protein 1","Smap1","Mus musculus (Mouse)",440
"Q9NXP7","GIN1_HUMAN","Gypsy retrotransposon integrase-like protein 1 (GIN-1) (Ty3/Gypsy integrase 1) (Zinc finger H2C2 domain-containing protein)","GIN1 TGIN1 ZH2C2","Homo sapiens (Human)",522
"Q7T2A5","EIF3L_DANRE","Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)","eif3l eif3eip eif3s6ip","Danio rerio (Zebrafish) (Brachydanio rerio)",576
